ChEMBL ID,Name,Molecular Weight,CX Acidic pKa,CX Basic pKa,Aromatic Rings,Molecular Species,Molecular Formula,Smiles,Inchi Key,Amine Class
CHEMBL37790,,201.36,,11.1,0.0,BASE,C11H27N3,CNCCCCCNCCCCNC,XKYBSWSETKPDPO-UHFFFAOYSA-N,secondary
CHEMBL25962,,213.32,,9.68,0.0,BASE,C12H23NO2,CCC1(CC)OC[C@H]([C@@H]2CCCCN2)O1,KOMZDWPXSZEVOY-WDEREUQCSA-N,secondary
CHEMBL2238035,,250.3,10.94,5.29,0.0,NEUTRAL,C12H18N4O2,N#CC1=C2CCCN2C(O)(N2CCOCC2)C1N,DZNVGWGOMFZDSN-UHFFFAOYSA-N,primary
CHEMBL10096,,152.2,,9.06,1.0,BASE,C8H12N2O,Cc1cc([C@@H]2CCCN2)on1,PJMAXCRZQLWZFH-ZETCQYMHSA-N,secondary
CHEMBL89394,,133.19,,9.2,1.0,BASE,C9H11N,C=C(CN)c1ccccc1,OWCNPQKNIWRGLI-UHFFFAOYSA-N,primary
CHEMBL6950,,189.22,,9.12,2.0,BASE,C9H11N5,NCc1ccc2nc(N)nc(N)c2c1,UZVZMGNVBKHJKH-UHFFFAOYSA-N,primary
CHEMBL344028,,162.24,,10.04,1.0,BASE,C10H14N2,NCCC1CNc2ccccc21,ZIMNJHFFARFXNK-UHFFFAOYSA-N,primary
CHEMBL2165399,,155.2,,8.24,0.0,NEUTRAL,C8H13NO2,CN1[C@H]2CC(=O)C[C@@H]1C(O)C2,UOHSTKWPZWFYTF-LSBSRIOGSA-N,tertiary
CHEMBL1622853,,173.22,,9.27,2.0,BASE,C10H11N3,NCc1cccc(-n2cccn2)c1,YWZKZHCZKIKAAC-UHFFFAOYSA-N,primary
CHEMBL3277145,,225.29,9.89,8.98,1.0,BASE,C12H19NO3,CC(C)(C)NC[C@H](O)c1ccc(O)c(O)c1,PHSMOUBHYUFTDM-NSHDSACASA-N,secondary
CHEMBL286495,,163.22,,9.0,1.0,BASE,C10H13NO,OCc1ccc2c(c1)CNCC2,RAUHFTOXJZRVIJ-UHFFFAOYSA-N,secondary
CHEMBL4239108,,140.23,,11.07,0.0,BASE,C8H16N2,N[C@@]12CCCC[C@@H]1CNC2,CAIDONUSMPDGKG-HTQZYQBOSA-N,primary
CHEMBL119352,,187.25,,6.12,1.0,NEUTRAL,C11H13N3,CN1C[C@H](C#N)C[C@H]1c1cccnc1,QZEUYTIXCQIHAN-ONGXEEELSA-N,tertiary
