ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction,MLb_Prediction
1003,C11H12N2,secondary,c1ccc2c3c([nH]c2c1)CCNC3,11,base,pKAH1,9.16,chembl,RPROHCOBMVQVIV-UHFFFAOYSA-N,9.067035994906773,9.194166052058769
1018,C6H13NO3,secondary,OC[C@@H]1CNC[C@@H](O)[C@@H]1O,4,base,pKAH1,8.8,chembl,QPYJXFZUIJOGNX-KVQBGUIXSA-N,8.643079416175652,8.746186917169885
1037,C12H21N3,secondary,c1nc(CCCCNC2CCCC2)c[nH]1,7,base,pKAH1,10.87,chembl,AVZAABIFUPTQRO-UHFFFAOYSA-N,10.266285478655151,10.385836106666757
1066,C5H9N3O2,secondary,C[C@@H]1NCC(=O)NNC1=O,2,base,pKAH1,5.21,chembl,IDXYLWSVKOVBBS-VKHMYHEASA-N,7.953378218045491,8.548325198199835
1071,C8H18N2O,primary,CC(=O)NCCCCCCN,10,base,pKAH1,10.21,chembl,WRJPJZTWQTUPQK-UHFFFAOYSA-N,10.326134172093724,10.293762171463055
1077,C9H13NO,tertiary,CN1CCCC1c1ccco1,1,base,pKAH1,8.59,chembl,KMVFIIBYOFOADI-UHFFFAOYSA-N,9.43180687029695,9.47748669544942
1086,C11H17NO,secondary,CN[C@@H](C)Cc1ccc(OC)cc1,1,base,pKAH1,10.2,chembl,UGFMBZYKVQSQFX-VIFPVBQESA-N,9.394624797190183,9.3990537348373
1089,C9H15NO2,tertiary,CC(=O)O[C@@H]1CN2CCC1CC2,6,base,pKAH1,9.17,chembl,WRJPSSPFHGNBMG-SECBINFHSA-N,8.710660585251016,8.742046335192692
1092,C13H18N2,tertiary,Cc1cccc2c(CCN(C)C)c[nH]c12,9,base,pKAH1,9.59,chembl,PQSFTUCFMWBITK-UHFFFAOYSA-N,8.991399210258967,9.049732029404613
1096,C12H18N4O4,tertiary,O=c1[nH]cnc2c(CN(CCO)C[C@@H](O)CO)c[nH]c12,8,base,pKAH1,7.14,chembl,LNNMXGVBXFJDJN-SECBINFHSA-N,8.04903498311117,8.208052360387123
1102,C12H17N3O3,tertiary,COc1cc(N2CCN(C)CC2)ccc1[N+](=O)[O-],8,base,pKAH1,7.47,chembl,MKTFAOFIZMORTQ-UHFFFAOYSA-N,8.017059882782714,8.534345315037296
1103,C12H14N2,secondary,c1ccc2c(c1)cc1n2CCNCC1,11,base,pKAH1,9.49,chembl,XORPZYQOYUSNCQ-UHFFFAOYSA-N,8.945381748320456,8.956003739562316
1107,C12H19NO3,primary,COc1cc(CC(C)N)c(OC)c(OC)c1,8,base,pKAH1,9.89,chembl,MJIBJXKJBRLSQA-UHFFFAOYSA-N,9.84659519342905,9.861966217241548
1113,C4H9NO2,primary,CCOC(=O)CN,6,base,pKAH1,7.09,chembl,NTNZTEQNFHNYBC-UHFFFAOYSA-N,8.642174501347059,8.783034123794355
1120,C11H15NO,primary,CC(N)Cc1ccc2c(c1)OCC2,2,base,pKAH1,10.01,chembl,VRNGXHJGMCJRSQ-UHFFFAOYSA-N,9.87129144574519,9.872318007587245
1123,C9H18N2,secondary,C=CCNCCCNCC=C,3,base,pKAH1,9.86,chembl,AXZLGJYOBMKFHV-UHFFFAOYSA-N,9.069451278369058,9.02903274725747
1129,C12H20N4O2,tertiary,CCN1CCN(CC(=O)Nc2cc(C)on2)CC1,5,base,pKAH1,7.45,chembl,FPQJFGAWHCQCMF-UHFFFAOYSA-N,8.032323419704456,8.36931571885728
1136,C13H19NO,secondary,CC(NC(C)(C)C)C(=O)c1ccccc1,2,base,pKAH1,8.29,chembl,JQNSRSIGKZYQAA-UHFFFAOYSA-N,8.266713730147917,8.788932545143386
1140,C11H15NO,primary,COc1cccc2c1CCC(N)C2,11,base,pKAH1,10.01,chembl,SIHPGAYIYYGOIP-UHFFFAOYSA-N,9.898095292281722,9.88330155442704
